Step,eval/mean_reward,eval/success_rate
0,-10.0,0.0
25000,-5.018706798553467,0.0
50000,30.037946701049805,0.0
75000,54.49371910095215,0.0
100000,39.738653818766274,0.0
125000,50.63600095113119,0.006666666517655034
150000,86.67598088582356,0.026666666070620168
175000,75.95726521809895,0.033333332588275234
200000,84.78794606526692,0.0399999991059303
225000,67.46997960408528,0.006666666517655034
250000,62.364646911621094,0.019999999552965133
275000,58.285326639811196,0.019999999552965133
300000,57.284653981526695,0.0133333330353101
325000,67.68198013305664,0.019999999552965133
350000,88.7099723815918,0.0533333321412404
375000,96.50794982910156,0.026666666070620168
400000,97.46127827962239,0.04666666562358534
425000,66.33462524414062,0.033333332588275234
450000,67.84130732218425,0.0133333330353101
475000,85.22128041585286,0.03999999910593027
500000,103.58863830566406,0.07333333417773244
